Argentina,Buenos Aires Stock Exchange (BUE),.BA
Austria,Vienna Stock Exchange (VIE),.VI
Australia,Australian Stock Exchange (ASX),.AX
Brazil,Sao Paolo Stock Exchange (SAO),.SA
Canada,Toronto Stock Exchange (TOR),.TO
Canada,Vancouver Stock Exchange (VAN),.V
Chile,Santiago Stock Exchange (SGO),.SN
China,Shanghai Stock Exchange (SHH),.SS
China,Shenzhen Stock Exchange (SHZ),.SZ
Denmark,Copenhagen Stock Exchange (CPH),.CO
France,Paris Stock Exchange (PAR),.PA
Germany,Berlin Stock Exchange (BER),.BE
Germany,Bremen Stock Exchange (BRE),.BM
Germany,Dusseldorf Stock Exchange (DUS),.D
Germany,Frankfurt Stock Exchange (FRA),.F
Germany,Hamburg Stock Exchange (HAM),.H
Germany,Hanover Stock Exchange (HAN),.HA
Germany,Munich Stock Exchange (MUN),.MU
Germany,Stuttgart Stock Exchange (STU),.SG
Germany,XETRA Stock Exchange (GER),.DE
Hong Kong,Hong Kong Stock Exchange (HKG),.HK
India,Bombay Stock Exchange (BSE),.BO
India,Calcutta Stock Exchange (CAL),.CL
India,National Stock Exchange (NSI),.NS
Indonesia,Jakarta Stock Exchange (JKT),.JK
Israel,Tel Aviv Stock Exchange (TLV),.TA
Italy,Milan Stock Exchange (MIL),.MI
Korea,Korea Stock Exchange (KSC),.KS
Malaysia,Kuala Lumpur Stock Exchange (KLS),.KL
Mexico,Mexico Stock Exchange (MEX),.MX
New Zealand,New Zealand Stock Exchange (NZE),.NZ
Netherlands,Amsterdam Stock Exchange (AEX),.AS
Norway,Oslo Stock Exchange (OSL),.OL
Peru,Lima Stock Exchange (LMA),.LM
Singapore,Singapore Stock Exchange (SES),.SI
Spain,Barcelona Stock Exchange (BAR),.BC
Spain,Bilbao Stock Exchange (BIL),.BI
Spain,Madrid Fixed Income Market,.MF
Spain,Madrid SE C.A.T.S. (MCE),.MC
Spain,Madrid Stock Exchange (MAD),.MA
Sweden,Stockholm Stock Exchange (STO),.ST
Taiwan,Taiwan OTC Exchange (TWO),.TWO
Taiwan,Taiwan Stock Exchange (TAI),.TW
Thailand,Stock Exchange of Thailand (SET),.BK
United Kingdom,London Stock Exchange (LSE),.L
United States,Stock Exchange of Thailand (SET),.BK
United States,Nasdaq Stock Exchange (NAS),	
United States,NYSE Stock Exchanges (NYS),	
United States,OTC Bulletin Board Market (OBB),.OB
United States,Pink Sheets,.PK
Venezuela,Caracas Stock Exchange (CCS),.CR
